,year_pro,TOPEX/Poseidon
344,2002,
345,2002,
346,2002,81.1
347,2002,
348,2002,135.8
349,2002,
350,2002,75.7
351,2002,54.5
352,2002,
353,2002,
354,2002,48.7
355,2003,
356,2003,83.0
357,2003,72.3
358,2003,
359,2003,
360,2003,-44.2
361,2003,
362,2003,-49.3
363,2003,
364,2003,-65.0
365,2003,
366,2003,-93.9
367,2003,
368,2003,-78.7
369,2003,-88.3
370,2003,-64.2
371,2003,
372,2003,
373,2003,-75.4
374,2003,
375,2003,-52.6
376,2003,
377,2003,-58.6
378,2003,
379,2003,-66.5
380,2003,
381,2003,-45.3
382,2003,
383,2003,-46.3
384,2003,
385,2003,-27.2
386,2003,21.6
387,2003,
388,2003,
389,2003,13.1
390,2003,
391,2003,8.1
392,2003,
393,2003,7.2
394,2003,
395,2003,22.3
396,2003,42.8
397,2003,
398,2003,62.2
399,2003,
400,2003,68.6
401,2003,
402,2003,47.0
403,2003,48.3
404,2003,
405,2003,96.6
406,2003,
407,2003,70.1
408,2003,
409,2003,126.4
410,2003,
411,2003,170.8
412,2003,
413,2003,59.7
414,2003,-7.9
415,2003,
416,2003,77.6
417,2003,
418,2003,52.8
419,2003,16.4
420,2003,
421,2004,20.6
422,2004,
423,2004,
424,2004,-6.1
425,2004,
426,2004,-27.9
427,2004,
428,2004,3.4
429,2004,
430,2004,-76.2
431,2004,-42.8
432,2004,
433,2004,
434,2004,18.2
435,2004,-43.9
436,2004,
437,2004,
438,2004,-58.4
439,2004,
440,2004,-58.6
441,2004,
442,2004,-77.5
443,2004,
444,2004,-18.3
445,2004,
446,2004,20.1
447,2004,-48.5
448,2004,
449,2004,
450,2004,
451,2004,
452,2004,0.4
453,2004,
454,2004,9.4
455,2004,-20.6
456,2004,
457,2004,-27.3
458,2004,
459,2004,6.3
460,2004,
461,2004,
462,2004,50.2
463,2004,
464,2004,81.2
465,2004,
466,2004,42.8
467,2004,
468,2004,60.7
469,2004,
470,2004,53.1
471,2004,
472,2004,109.2
473,2004,105.8
474,2004,
475,2004,
476,2004,112.3
477,2004,106.9
478,2004,
479,2004,
480,2004,100.6
481,2004,
482,2004,83.6
483,2004,
484,2004,9.7
485,2004,33.1
486,2004,
487,2004,-29.3
488,2004,
489,2004,
490,2004,-18.8
491,2005,-26.7
492,2005,
493,2005,
494,2005,-16.4
495,2005,
496,2005,15.9
497,2005,
498,2005,-79.8
499,2005,-49.6
500,2005,
501,2005,
502,2005,-57.4
503,2005,
504,2005,-57.8
505,2005,
506,2005,-21.5
507,2005,
508,2005,-62.6
509,2005,-37.0
510,2005,
511,2005,
512,2005,-51.2
513,2005,
514,2005,-19.7
515,2005,
516,2005,-47.6
517,2005,
518,2005,-44.5
519,2005,
520,2005,-7.8
521,2005,23.1
522,2005,
523,2005,-16.6
524,2005,
525,2005,
526,2005,-1.6
527,2005,
528,2005,5.3
529,2005,41.3
530,2005,43.9
531,2005,
532,2005,61.9
533,2005,56.6
534,2005,
535,2005,56.1
536,2005,
537,2005,63.7
538,2005,56.7
539,2005,
540,2005,57.9
541,2005,
542,2005,
543,2005,
544,2005,
545,2005,
546,2005,
547,2005,
548,2005,
549,2005,
550,2006,
551,2006,
552,2006,
553,2006,
554,2006,
555,2006,
556,2006,
557,2006,
558,2006,
559,2006,
560,2006,
561,2006,
562,2006,
563,2006,
564,2006,
565,2006,
566,2006,
567,2006,
568,2006,
569,2006,
570,2006,
571,2006,
572,2006,
573,2006,
574,2006,
575,2006,
576,2006,
577,2006,
578,2006,
579,2006,
580,2006,
581,2006,
582,2006,
583,2006,
584,2006,
585,2006,
586,2007,
587,2007,
588,2007,
589,2007,
590,2007,
591,2007,
592,2007,
593,2007,
594,2007,
595,2007,
596,2007,
597,2007,
598,2007,
599,2007,
600,2007,
601,2007,
602,2007,
603,2007,
604,2007,
605,2007,
606,2007,
607,2007,
608,2007,
609,2007,
610,2007,
611,2007,
612,2007,
613,2007,
614,2007,
615,2007,
616,2007,
617,2007,
618,2007,
619,2007,
620,2007,
621,2008,
622,2008,
623,2008,
624,2008,
625,2008,
626,2008,
627,2008,
628,2008,
629,2008,
630,2008,
631,2008,
632,2008,
633,2008,
634,2008,
635,2008,
636,2008,
637,2008,
638,2008,
639,2008,
640,2008,
641,2008,
642,2008,
643,2008,
644,2008,
645,2008,
646,2008,
647,2008,
648,2008,
649,2008,
650,2008,
651,2008,
652,2008,
653,2008,
654,2008,
655,2008,
656,2008,
657,2008,
658,2008,
659,2008,
660,2008,
661,2008,
662,2008,
663,2008,
664,2008,
665,2008,
666,2008,
667,2008,
668,2008,
669,2008,
670,2008,
671,2009,
672,2009,
673,2009,
674,2009,
675,2009,
676,2009,
677,2009,
678,2009,
679,2009,
680,2009,
681,2009,
682,2009,
683,2009,
684,2009,
685,2009,
686,2009,
687,2009,
688,2009,
689,2009,
690,2009,
691,2009,
692,2009,
693,2009,
694,2009,
695,2009,
696,2009,
697,2009,
698,2009,
699,2009,
700,2009,
701,2009,
702,2009,
703,2009,
704,2009,
705,2009,
706,2009,
707,2009,
708,2009,
709,2009,
710,2009,
711,2009,
712,2009,
713,2009,
714,2009,
715,2009,
716,2009,
717,2009,
718,2009,
719,2009,
720,2009,
721,2009,
722,2009,
723,2009,
724,2009,
725,2009,
726,2009,
727,2009,
728,2009,
729,2009,
730,2009,
731,2009,
732,2009,
733,2009,
734,2009,
735,2009,
736,2009,
737,2009,
738,2009,
739,2009,
740,2009,
741,2010,
742,2010,
743,2010,
744,2010,
745,2010,
746,2010,
747,2010,
748,2010,
749,2010,
750,2010,
751,2010,
752,2010,
753,2010,
754,2010,
755,2010,
756,2010,
757,2010,
758,2010,
759,2010,
760,2010,
761,2010,
762,2010,
763,2010,
764,2010,
765,2010,
766,2010,
767,2010,
768,2010,
769,2010,
770,2010,
771,2010,
772,2010,
773,2010,
774,2010,
775,2010,
776,2010,
777,2010,
778,2010,
779,2010,
780,2010,
781,2010,
782,2010,
783,2010,
784,2010,
785,2010,
786,2010,
787,2010,
788,2010,
789,2010,
790,2010,
791,2010,
792,2010,
793,2010,
794,2010,
795,2010,
796,2010,
797,2010,
798,2010,
799,2010,
800,2010,
801,2010,
802,2010,
803,2010,
804,2010,
805,2010,
806,2010,
807,2010,
808,2010,
809,2010,
810,2010,
811,2010,
812,2010,
813,2011,
814,2011,
815,2011,
816,2011,
817,2011,
818,2011,
819,2011,
820,2011,
821,2011,
822,2011,
823,2011,
824,2011,
825,2011,
826,2011,
827,2011,
828,2011,
829,2011,
830,2011,
831,2011,
832,2011,
833,2011,
834,2011,
835,2011,
836,2011,
837,2011,
838,2011,
839,2011,
840,2011,
841,2011,
842,2011,
843,2011,
844,2011,
845,2011,
846,2011,
847,2011,
848,2011,
849,2011,
850,2011,
851,2011,
852,2011,
853,2011,
854,2011,
855,2011,
856,2011,
857,2011,
858,2011,
859,2011,
860,2011,
861,2011,
862,2011,
863,2011,
864,2011,
865,2011,
866,2011,
867,2011,
868,2011,
869,2011,
870,2011,
871,2011,
872,2011,
873,2011,
874,2011,
875,2011,
876,2011,
877,2011,
878,2011,
879,2011,
880,2011,
881,2011,
882,2011,
883,2012,
884,2012,
885,2012,
886,2012,
887,2012,
888,2012,
889,2012,
890,2012,
891,2012,
892,2012,
893,2012,
894,2012,
895,2012,
896,2012,
897,2012,
898,2012,
899,2012,
900,2012,
901,2012,
902,2012,
903,2012,
904,2012,
905,2012,
906,2012,
907,2012,
908,2012,
909,2012,
910,2012,
911,2012,
912,2012,
913,2012,
914,2012,
915,2012,
916,2012,
917,2012,
918,2012,
919,2012,
920,2012,
921,2012,
922,2012,
923,2012,
924,2012,
925,2012,
926,2012,
927,2012,
928,2012,
929,2012,
930,2012,
931,2012,
932,2012,
933,2012,
934,2012,
935,2012,
936,2012,
937,2012,
938,2012,
939,2012,
940,2012,
941,2012,
942,2012,
943,2012,
944,2012,
945,2012,
946,2012,
947,2013,
948,2013,
949,2013,
950,2013,
951,2013,
952,2013,
953,2013,
954,2013,
955,2013,
956,2013,
957,2013,
958,2013,
959,2013,
960,2013,
961,2013,
962,2013,
963,2013,
964,2013,
965,2013,
966,2013,
967,2013,
968,2013,
969,2013,
970,2013,
971,2013,
972,2013,
973,2013,
974,2013,
975,2013,
976,2013,
977,2013,
978,2013,
979,2013,
980,2013,
981,2013,
982,2013,
983,2013,
984,2013,
985,2013,
986,2013,
987,2013,
988,2013,
989,2013,
990,2013,
991,2013,
992,2013,
993,2013,
994,2013,
995,2013,
996,2013,
997,2013,
998,2013,
999,2014,
1000,2014,
1001,2014,
1002,2014,
1003,2014,
1004,2014,
1005,2014,
1006,2014,
1007,2014,
1008,2014,
1009,2014,
1010,2014,
1011,2014,
1012,2014,
1013,2014,
1014,2014,
1015,2014,
1016,2014,
1017,2014,
1018,2014,
1019,2014,
1020,2014,
1021,2014,
1022,2014,
1023,2014,
1024,2014,
1025,2014,
1026,2014,
1027,2014,
1028,2014,
1029,2014,
1030,2014,
1031,2014,
1032,2014,
1033,2014,
1034,2015,
1035,2015,
1036,2015,
1037,2015,
1038,2015,
1039,2015,
1040,2015,
1041,2015,
1042,2015,
1043,2015,
1044,2015,
1045,2015,
1046,2015,
1047,2015,
1048,2015,
1049,2015,
1050,2015,
1051,2015,
1052,2015,
1053,2015,
1054,2015,
1055,2015,
1056,2015,
1057,2015,
1058,2015,
1059,2015,
1060,2015,
1061,2015,
1062,2015,
1063,2015,
1064,2015,
1065,2015,
1066,2015,
1067,2016,
1068,2016,
1069,2016,
1070,2016,
1071,2016,
1072,2016,
1073,2016,
1074,2016,
1075,2016,
1076,2016,
1077,2016,
1078,2016,
1079,2016,
1080,2016,
1081,2016,
1082,2016,
1083,2016,
1084,2016,
1085,2016,
1086,2016,
1087,2016,
1088,2016,
1089,2016,
1090,2016,
1091,2016,
1092,2016,
1093,2016,
1094,2016,
1095,2016,
1096,2016,
1097,2016,
1098,2016,
1099,2016,
1100,2016,
1101,2016,
1102,2016,
1103,2016,
1104,2016,
1105,2016,
1106,2016,
1107,2016,
1108,2016,
1109,2016,
1110,2016,
1111,2016,
1112,2016,
1113,2016,
1114,2016,
1115,2016,
1116,2016,
1117,2016,
1118,2016,
1119,2016,
1120,2016,
1121,2016,
1122,2016,
1123,2016,
1124,2017,
1125,2017,
1126,2017,
1127,2017,
1128,2017,
1129,2017,
1130,2017,
1131,2017,
1132,2017,
1133,2017,
1134,2017,
1135,2017,
1136,2017,
1137,2017,
1138,2017,
1139,2017,
1140,2017,
1141,2017,
1142,2017,
1143,2017,
1144,2017,
1145,2017,
1146,2017,
1147,2017,
1148,2017,
1149,2017,
1150,2017,
1151,2017,
1152,2017,
1153,2017,
1154,2017,
1155,2017,
1156,2017,
1157,2017,
1158,2017,
1159,2017,
1160,2017,
1161,2018,
1162,2018,
1163,2018,
1164,2018,
1165,2018,
1166,2018,
1167,2018,
1168,2018,
1169,2018,
1170,2018,
1171,2018,
1172,2018,
1173,2018,
1174,2018,
1175,2018,
1176,2018,
1177,2018,
1178,2018,
1179,2018,
1180,2018,
1181,2018,
1182,2018,
1183,2018,
1184,2018,
1185,2018,
1186,2018,
1187,2018,
1188,2018,
1189,2018,
1190,2018,
1191,2018,
1192,2018,
1193,2018,
1194,2018,
1195,2018,
1196,2018,
1197,2018,
1198,2019,
1199,2019,
1200,2019,
1201,2019,
1202,2019,
1203,2019,
1204,2019,
1205,2019,
1206,2019,
1207,2019,
1208,2019,
1209,2019,
1210,2019,
1211,2019,
1212,2019,
