STN,LOCATION
025540,Sweden
025560,Sweden
025570,Sweden
025580,Sweden
025590,Sweden
025610,Sweden
025620,Sweden
025625,Sweden
025630,Unknown
025635,Sweden
025650,Sweden
025670,Unknown
025710,Sweden
025740,Sweden
025750,Unknown
025870,Unknown
025890,Unknown
025900,Sweden
025980,Unknown
026040,Sweden
026050,Unknown
026110,Sweden
026150,Unknown
026160,Unknown
026180,Sweden
026220,Sweden
026230,Sweden
026250,Unknown
026280,Unknown
026290,Sweden
026320,Unknown
026350,Sweden
026360,Sweden
026410,Sweden
026440,Unknown
026480,Sweden
026510,Sweden
026610,Sweden
026640,Sweden
026670,Unknown
026700,Sweden
026720,Sweden
026790,Unknown
027010,Finland
027020,Finland
027040,Finland
027050,Finland
027060,Finland
027080,Finland
027100,Finland
027130,Finland
027140,Finland
027170,Finland
027180,Finland
027190,Finland
027200,Finland
027210,Unknown
027220,Finland
027240,Unknown
027250,Finland
027260,Finland
027270,Finland
027320,Finland
027330,Finland
027340,Finland
027350,Finland
027360,Finland
027370,Finland
027380,Finland
027390,Finland
027410,Unknown
027430,Unknown
027440,Finland
027450,Finland
027460,Finland
027470,Unknown
027500,Unknown
027510,Unknown
027520,Unknown
027530,Finland
027540,Finland
027550,Finland
027560,Finland
027570,Unknown
027580,Finland
027590,Finland
027600,Finland
027610,Unknown
027630,Finland
027640,Finland
027650,Finland
027660,Finland
027670,Finland
027680,Finland
027690,Finland
027700,Finland
027710,Finland
027720,Finland
027730,Finland
027770,Finland
027780,Finland
027800,Unknown
027810,Unknown
027870,Finland
027880,Finland
027890,Finland
027900,Unknown
027910,Finland
027930,Finland
027940,Unknown
027950,Unknown
027960,Finland
027970,Finland
027980,Finland
027990,Finland
028000,Unknown
028010,Finland
028030,Finland
028040,Finland
028050,Finland
028070,Finland
028075,Finland
028110,Finland
028120,Finland
028130,Finland
028140,Finland
028150,Finland
028160,Finland
028170,Finland
028180,Finland
028190,Finland
028200,Finland
028210,Finland
028230,Finland
028240,Finland
028250,Norway
028270,Finland
028280,Finland
028290,Finland
028300,Finland
028310,Finland
028320,Finland
028330,Finland
028340,Finland
028350,Finland
028360,Finland
028440,Finland
028450,Finland
028470,Finland
028490,Finland
028500,Finland
028510,Finland
028570,Finland
028580,Finland
028590,Finland
028600,Finland
028620,Unknown
028630,Unknown
028640,Finland
028660,Finland
028680,Finland
028690,Finland
028720,Unknown
028730,Finland
028740,Finland
028750,Finland
028760,Unknown
028800,Finland
028810,Finland
028820,Finland
028830,Finland
028880,Finland
028890,Finland
028900,Finland
028970,Finland
029030,Finland
029060,Finland
029070,Unknown
029100,Unknown
029110,Finland
029130,Finland
029150,Finland
029170,Finland
029190,Finland
029200,Unknown
029240,Finland
029245,Finland
029260,Finland
029270,Finland
029280,Finland
029290,Finland
029310,Unknown
029350,Finland
029370,Finland
029390,Finland
029420,Finland
029430,Finland
029440,Finland
029450,Finland
029460,Finland
029470,Finland
029480,Finland
029490,Finland
029500,Unknown
029520,Finland
029550,Finland
029560,Finland
029570,Finland
029580,Finland
029590,Finland
029630,Finland
029640,Unknown
029650,Finland
029660,Finland
029670,Unknown
029700,Aland
029720,Finland
029740,Finland
029760,Unknown
029780,Finland
029790,Unknown
029800,Unknown
029810,Unknown
029820,Unknown
029830,Finland
029840,Unknown
029851,Finland
029870,Unknown
029910,Unknown
029920,Unknown
029930,Unknown
029980,Finland
030020,United Kingdom
030030,United Kingdom
030050,United Kingdom
030064,United Kingdom
030080,United Kingdom
030100,Unknown
030170,United Kingdom
030180,United Kingdom
030220,United Kingdom
030230,United Kingdom
030260,United Kingdom
030310,United Kingdom
030340,United Kingdom
030390,United Kingdom
030410,United Kingdom
030440,United Kingdom
030470,United Kingdom
030590,United Kingdom
030620,United Kingdom
030630,United Kingdom
030650,United Kingdom
030660,United Kingdom
030680,United Kingdom
030720,United Kingdom
030750,United Kingdom
030755,United Kingdom
030800,United Kingdom
030880,United Kingdom
030910,United Kingdom
031000,United Kingdom
031050,United Kingdom
031110,United Kingdom
031140,United Kingdom
031320,United Kingdom
031340,United Kingdom
031350,United Kingdom
031360,United Kingdom
031394,United Kingdom
031400,United Kingdom
031401,Unknown
031402,Unknown
031403,Unknown
031405,Unknown
031406,Unknown
031407,Unknown
031408,Unknown
031409,Unknown
031412,Unknown
031413,Unknown
031440,United Kingdom
031480,United Kingdom
031530,United Kingdom
031550,United Kingdom
031580,United Kingdom
031600,United Kingdom
031620,United Kingdom
031634,Unknown
031650,United Kingdom
031660,United Kingdom
031710,United Kingdom
032040,Isle of Man
032100,United Kingdom
032120,United Kingdom
032140,Unknown
032145,United Kingdom
032200,United Kingdom
032240,United Kingdom
032250,United Kingdom
032260,United Kingdom
032270,United Kingdom
032300,United Kingdom
032380,United Kingdom
032400,United Kingdom
032433,United Kingdom
032570,United Kingdom
032635,United Kingdom
032643,United Kingdom
032650,United Kingdom
032660,United Kingdom
032750,United Kingdom
032810,United Kingdom
032920,United Kingdom
033010,United Kingdom
033020,United Kingdom
033050,United Kingdom
033130,United Kingdom
033160,Unknown
033180,United Kingdom
033210,United Kingdom
033233,United Kingdom
033300,United Kingdom
033340,United Kingdom
033440,United Kingdom
033460,United Kingdom
033463,United Kingdom
033465,United Kingdom
033510,United Kingdom
033540,United Kingdom
033730,United Kingdom
033735,United Kingdom
033770,United Kingdom
033790,United Kingdom
033820,United Kingdom
033840,United Kingdom
033850,United Kingdom
033851,United Kingdom
033910,United Kingdom
033920,United Kingdom
033961,United Kingdom
034050,Unknown
034054,United Kingdom
034090,United Kingdom
034100,United Kingdom
034140,United Kingdom
034145,United Kingdom
034185,United Kingdom
034620,United Kingdom
034690,United Kingdom
034820,United Kingdom
034880,Unknown
034920,United Kingdom
035020,United Kingdom
035030,United Kingdom
035070,United Kingdom
035200,United Kingdom
035220,United Kingdom
035290,United Kingdom
035340,United Kingdom
035350,United Kingdom
035440,United Kingdom
035573,United Kingdom
035600,United Kingdom
035661,Unknown
035715,United Kingdom
035770,United Kingdom
035830,United Kingdom
035900,United Kingdom
